type,uri,element,value
collectionobjects,/collectionobjects/c9364071-90f7-4950-aeb0,objectNumber,2014.9858
collectionobjects,/collectionobjects/9d232bf8-8d24-491a-bfff,objectNumber,2014.9798
collectionobjects,/collectionobjects/b799ea72-ccd1-4b6d-ad8e,objectNumber,2006.7302
collectionobjects,/collectionobjects/6f425f14-ee9a-4a61-a4c7,objectNumber,2014.9846
collectionobjects,/collectionobjects/9fe6c6f1-25f2-493d-b1e5,objectNumber,2014.9754
collectionobjects,/collectionobjects/36a7c313-af6e-4487-9a4c,objectNumber,1994.1174
collectionobjects,/collectionobjects/e3c8f066-565e-4091-a049,objectNumber,2002.517
collectionobjects,/collectionobjects/9df3d828-ffc0-4cd2-8c8a,objectNumber,2014.9812
collectionobjects,/collectionobjects/dd036ef0-b0cb-4de5-8f7d,objectNumber,2014.975
collectionobjects,/collectionobjects/370319a0-a464-4341-989b,objectNumber,2014.9806
collectionobjects,/collectionobjects/8bd1d63c-d2cd-46bb-b57f,objectNumber,2014.9864
collectionobjects,/collectionobjects/75e31b07-ec95-44af-819b,objectNumber,1994.1186
