type,uri,element,value
collectionobjects,/collectionobjects/643e8aea-c036-4659-9658,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/bbe12a84-c4f0-4e95-8693,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4a2596ce-03e4-4ebe-b7f0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f8894e51-b491-4d89-b707,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/5258290c-6931-4ce6-b73c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/df704df6-d9c9-4f32-984a,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/d496fd35-2289-45c6-b4b5,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/7915750e-1915-49ae-9586,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/44e81568-4c0b-45e4-9aa0,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/ab37888b-329c-4d45-bdec,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b2dbeea7-63a3-405d-aee6,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/7055b7cc-8f27-433e-9e03,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b549da7c-1bc2-47ed-8c23,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/b4e8e5c5-0322-4104-b5b9,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e122787a-caf4-4b2f-a678,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/4ccdc76f-8723-4bfe-ace9,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e5dc729f-9753-457d-aeac,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/aa4c9349-a889-4d6f-853e,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/ac9a9cbb-2723-4fcb-a9bc,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/d6917a80-94bf-4086-b991,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/6bb0fd26-4ccc-4aaf-9c2c,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/e7c1e912-f014-4154-b224,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/f74a1694-e513-432b-8946,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/880a43d5-81e1-4d3c-a093,responsibleDepartment,artcollection
collectionobjects,/collectionobjects/daeafe0e-0a8f-4328-ac99,responsibleDepartment,artcollection
